name,ncpus,bytes/word,COPY,SCALE,ADD,TRIAD,Clock,FP-OP/clock,shared_memory,distributed_memory,Uniprocessor,Other,result_type,obsolete,type,date,link
Cray_J98,1,8,1436.0,1395.0,1263.0,1275.0,100.0,2.0,Y,N,N,N,E,N,N,1995.01.12,
Cray_SV1,32,8,25350.6,25252.7,25325.9,24780.6,300.0,4.0,Y,N,N,N,S,N,N,2000.05.23,2000/0015.html
Cray_SV1,16,8,24476.3,24760.3,24915.6,24425.2,300.0,4.0,Y,N,N,N,S,N,N,2000.05.23,2000/0015.html
Cray_SV1,12,8,22093.8,21931.0,22710.5,22399.9,300.0,4.0,Y,N,N,N,S,N,N,2000.05.23,2000/0015.html
Cray_SV1,8,8,18063.2,17783.5,18874.6,18615.0,300.0,4.0,Y,N,N,N,S,N,N,2000.05.23,2000/0015.html
Cray_SV1,4,8,9373.2,9208.7,9859.4,9858.7,300.0,4.0,Y,N,N,N,S,N,N,2000.05.23,2000/0015.html
Cray_SV1,2,8,4808.2,4677.5,4984.2,4991.8,300.0,4.0,Y,N,N,N,S,N,N,2000.05.23,2000/0015.html
Cray_SV1ex,32,8,42317.797,42237.905,47829.836,47821.927,500.0,5.0,Y,N,N,N,S,N,N,2002.04.18,2002/0009.html
Cray_SV1ex,24,8,38844.706,38776.920,46002.964,46036.779,500.0,5.0,Y,N,N,N,S,N,N,2002.04.18,2002/0009.html
Cray_SV1ex,16,8,35641.211,35435.637,42389.950,41936.527,500.0,5.0,Y,N,N,N,S,N,N,2002.04.18,2002/0009.html
Cray_SV1ex,8,8,20721.278,20309.129,27225.012,27132.534,500.0,5.0,Y,N,N,N,S,N,N,2002.04.18,2002/0009.html
Cray_SV1ex,4,8,10857.969,10252.107,13834.092,14022.400,500.0,5.0,Y,N,N,N,S,N,N,2002.04.18,2002/0009.html
Cray_SV1ex,2,8,5588.210,5163.882,6956.134,7111.793,500.0,5.0,Y,N,N,N,S,N,N,2002.04.18,2002/0009.html
Cray_SV1ex,1,8,2819.084,2645.164,3541.879,3584.286,500.0,5.0,Y,N,N,N,S,N,N,2002.04.18,2002/0009.html
Cray_T3D-,512,8,161479.0,168193.0,91775.0,95304.0,150.0,1.0,N,Y,N,N,S,N,N,1995.07.26,
Cray_T3D-,256,8,98316.2,84241.5,47824.1,45248.1,150.0,1.0,N,Y,N,N,S,N,N,1995.01.30,
Cray_T3D-,128,8,49156.4,42128.2,23912.0,22625.2,150.0,1.0,N,Y,N,N,S,N,N,1995.01.30,
Cray_T3D-,64,8,24580.7,21064.7,11955.7,11312.9,150.0,1.0,N,Y,N,N,S,N,N,1995.01.30,
Cray_T3D-,32,8,12290.3,10533.4,5978.3,5656.4,150.0,1.0,N,Y,N,N,S,N,N,1995.01.30,
Cray_T3D-,1,8,384.2,329.2,187.0,176.8,150.0,1.0,N,Y,N,N,S,N,N,1995.01.30,
Cray_T3D_coded,512,8,169677.0,166578.0,114976.0,112126.0,150.0,1.0,N,Y,N,N,T,N,N,1995.06.26,
Cray_T3D_coded,256,8,98303.7,84229.5,57622.6,56078.7,150.0,1.0,N,Y,N,N,T,N,N,1995.01.30,
Cray_T3D_coded,128,8,49132.9,42113.9,28811.1,28032.5,150.0,1.0,N,Y,N,N,T,N,N,1995.01.30,
Cray_T3D_coded,64,8,24577.9,21061.6,14405.8,14020.2,150.0,1.0,N,Y,N,N,T,N,N,1995.01.30,
Cray_T3D_coded,32,8,12288.6,10530.7,7204.2,7010.7,150.0,1.0,N,Y,N,N,T,N,N,1995.01.30,
Cray_T3D_coded,1,8,384.5,329.4,225.4,220.1,150.0,1.0,N,Y,N,N,T,N,N,1995.01.30,
Cray_T3E-1200,512,8,242981.,246031.,288345.,284920,600.0,2.0,N,Y,N,N,S,N,N,2000.05.04,2000/0011.html
Cray_T3E-1200,256,8,121503.,123064.,144679.,142580,600.0,2.0,N,Y,N,N,S,N,N,2000.05.04,2000/0011.html
Cray_T3E-1200,128,8,60882.,61554.,72335.,71283,600.0,2.0,N,Y,N,N,S,N,N,2000.05.04,2000/0011.html
Cray_T3E-1200,64,8,30459.,30764.,36170.,35646,600.0,2.0,N,Y,N,N,S,N,N,2000.05.04,2000/0011.html
Cray_T3E-1200,32,8,15194.,15386.,18088.,17829,600.0,2.0,N,Y,N,N,S,N,N,2000.05.04,2000/0011.html
Cray_T3E-1200,16,8,7616.,7696.,9046.,8913,600.0,2.0,N,Y,N,N,S,N,N,2000.05.04,2000/0011.html
Cray_T3E-1200,8,8,3800.,3849.,4523.,4458,600.0,2.0,N,Y,N,N,S,N,N,2000.05.04,2000/0011.html
Cray_T3E-1200,4,8,1902.,1918.,2262.,2230,600.0,2.0,N,Y,N,N,S,N,N,2000.05.04,2000/0011.html
Cray_T3E-1200,2,8,951.,962.,1131.,1115,600.0,2.0,N,Y,N,N,S,N,N,2000.05.04,2000/0011.html
Cray_T3E-1200,1,8,474.,480.,566.,558,600.0,2.0,N,Y,N,N,S,N,N,2000.05.04,2000/0011.html
Cray_T3E-900,512,8,240428.,233501.,243368.,265803.,450.,2.0,N,Y,N,N,S,N,N,1997.04.18,
Cray_T3E-900,256,8,119483.,116861.,107532.,126061.,450.,2.0,N,Y,N,N,S,N,N,1997.04.18,
Cray_T3E-900,128,8,60175.,58707.,57177.,64952.,450.,2.0,N,Y,N,N,S,N,N,1997.04.18,
Cray_T3E-900,64,8,30066.,29694.,31051.,34168.,450.,2.0,N,Y,N,N,S,N,N,1997.04.18,
Cray_T3E-900,32,8,14968.,14940.,15935.,17148.,450.,2.0,N,Y,N,N,S,N,N,1997.04.18,
Cray_T3E-900,16,8,7497.,7477.,8042.,8828.,450.,2.0,N,Y,N,N,S,N,N,1997.04.18,
Cray_T3E-900,8,8,3747.,3739.,4167.,4471.,450.,2.0,N,Y,N,N,S,N,N,1997.04.18,
Cray_T3E-900,4,8,1877.,1869.,2147.,2230.,450.,2.0,N,Y,N,N,S,N,N,1997.04.18,
Cray_T3E-900,2,8,935.,935.,1088.,1118.,450.,2.0,N,Y,N,N,S,N,N,1997.04.18,
Cray_T3E-900,1,8,484.,482.,571.,568.,450.,2.0,N,Y,N,N,S,N,N,1997.04.18,
Cray_T932_321024-3E,32,8,310721.0,302182.0,359841.0,359270.0,450.0,4.0,Y,N,N,N,S,N,N,1996.11.21,1996/0048.html
Cray_T932_321024-3E,24,8,237415.0,230100.0,281038.0,282300.0,450.0,4.0,Y,N,N,N,S,N,N,1996.11.21,1996/0048.html
Cray_T932_321024-3E,16,8,160263.0,154880.0,193335.0,194562.0,450.0,4.0,Y,N,N,N,S,N,N,1996.11.21,1996/0048.html
Cray_T932_321024-3E,8,8,80929.0,78131.0,98701.0,99343.0,450.0,4.0,Y,N,N,N,S,N,N,1996.11.21,1996/0048.html
Cray_T932_321024-3E,4,8,40457.0,39017.0,50203.0,50718.0,450.0,4.0,Y,N,N,N,S,N,N,1996.11.21,1996/0048.html
Cray_T932_321024-3E,2,8,20326.0,19622.0,25459.0,26117.0,450.0,4.0,Y,N,N,N,S,N,N,1996.11.21,1996/0048.html
Cray_T932_321024-3E,1,8,10653.0,10221.0,13014.0,13682.0,450.0,4.0,Y,N,N,N,S,N,N,1996.11.21,1996/0048.html
Cray_T94,1,8,11341.0,10717.0,14783.0,13920.0,450.0,4.0,Y,N,N,N,S,N,N,1995.07.24,
Cray_X1,4,8,74417,77577,83629,84455,800.0,16.0,Y,N,N,N,S,N,N,2003.11.05,2003/0026.html
Cray_X1,1,8,20832,21027,24011,24023,800.0,16.0,Y,N,N,N,S,N,N,2003.11.05,2003/0026.html
Cray_Y-MP,8,8,19291.6,19294.2,26588.9,26802.2,167.0,2.0,Y,N,N,N,S,N,N,1991.10.01,1991/0026.html
Cray_Y-MP,4,8,9685.8,9678.9,13781.4,13851.2,167.0,2.0,Y,N,N,N,S,N,N,1991.09.30,
Cray_Y-MP,1,8,2426.4,2426.2,3454.4,3396.9,167.0,2.0,Y,N,N,N,S,N,N,1991.10.01,1991/0020.html
DEC_PC164,1,8,114.3,114.3,126.3,126.3,500.,2.0,N,N,Y,N,S,N,N,2003.08.07,2003/0014.html
DEC_164LX_533_2MBL3,1,8,241.5,234.4,267.4,256,533.,2.0,N,N,Y,N,S,N,N,1997.09.04,
DEC_164SX_533_2MBL3,1,8,273.1,256.0,292.6,292.6,533.,2.0,N,N,Y,N,S,N,N,1997.12.18,
DEC_2100-4-233,1,8,80.0,77.8,80.0,80.0,233.0,1.0,Y,N,N,N,S,N,N,1996.03.16,
DEC_2100_A500-4-190,2,8,133.3,133.6,129.6,127.7,190.0,1.0,Y,N,N,N,S,N,N,1994.09.09,
DEC_2100_A500-4-190,1,8,79.2,80.8,79.1,79.3,190.0,1.0,Y,N,N,N,S,N,N,1994.09.09,
DEC_2100_A500-5-250,2,8,171.0,169.0,162.0,162.0,250.0,1.0,Y,N,N,N,S,N,N,1995.06.01,
DEC_3000-300,1,8,33.4,33.5,39.6,38.9,33.0,1.0,N,N,Y,N,S,N,N,1994.03.15,
DEC_3000-500,1,8,100.4,96.4,98.4,99.7,150.0,1.0,N,N,Y,N,S,N,N,1993.04.22,
DEC_3000-800,1,8,90.6,94.1,97.3,100.0,200.0,1.0,N,N,Y,N,S,N,N,1997.12.18,
DEC_3000-800,1,8,90.6,94.1,97.3,100.0,200.0,2.0,N,N,Y,N,S,N,N,1998.02.12,
DEC_3000-900,1,8,97.9,97.0,101.0,101.2,275.0,1.0,N,N,Y,N,S,N,N,1995.12.01,
DEC_4000-710,1,4,80.4,80.4,79.2,78.8,190.0,1.0,N,N,Y,N,S,N,N,1994.01.19,
DEC_4000-710,1,8,84.6,82.3,85.1,83.8,190.0,1.0,N,N,Y,N,S,N,N,1994.01.19,
